,Ticker,Entry,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,TTM,,,
,,Sales +,1717.00,2939.00,4397.00,5684.00,6390.00,6810.00,8738.00,6173.00,7033.00,8965.00,9797.00,9154.00,7531.00,,,
,,Expenses +,1723.00,2800.00,4050.00,5095.00,5841.00,6097.00,7624.00,4484.00,4859.00,6157.00,6893.00,6971.00,6115.00,,,
,,Operating Profit,-6.00,139.00,347.00,589.00,549.00,713.00,1115.00,1690.00,2174.00,2808.00,2904.00,2183.00,1416.00,,,
,,OPM %,0.00,0.05,0.08,0.10,0.09,0.10,0.13,0.27,0.31,0.31,0.30,0.24,0.19,,,
,,Other Income,111.00,111.00,137.00,142.00,137.00,95.00,107.00,326.00,417.00,536.00,701.00,573.00,509.00,,,
,,Interest,10.00,9.00,10.00,8.00,4.00,8.00,10.00,2.00,4.00,5.00,7.00,19.00,19.00,,,
,,Depreciation,37.00,54.00,57.00,64.00,82.00,130.00,220.00,137.00,154.00,223.00,300.00,382.00,407.00,,,
,,Profit before tax,59.00,187.00,418.00,660.00,600.00,671.00,993.00,1877.00,2433.00,3116.00,3297.00,2355.00,1499.00,,,
,,Tax %,-0.15,0.31,0.27,0.25,0.21,0.22,0.29,0.29,0.30,0.30,0.33,0.22,,,,
,,Net Profit,63.00,83.00,189.00,309.00,324.00,394.00,615.00,1338.00,1667.00,1960.00,2203.00,1827.00,1091.00,,,
,,EPS in Rs,2.23,3.12,7.01,11.44,12.01,14.57,22.71,49.27,61.27,71.89,80.75,66.91,39.96,,,
,,Dividend Payout %,0.22,0.11,0.16,0.14,0.17,0.21,0.22,0.20,0.16,0.15,0.15,0.19,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39783.00,40148.00,40513.00,40878.00,41244.00,41609.00,41974.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,28.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,,,
,,Reserves,1076.00,1042.00,1205.00,1466.00,1728.00,2028.00,2489.00,3626.00,5318.00,7003.00,8891.00,9954.00,10292.00,,,
,,Borrowings,166.00,126.00,96.00,43.00,23.00,84.00,58.00,23.00,112.00,151.00,187.00,249.00,255.00,,,
,,Other Liabilities +,1034.00,1301.00,1636.00,2257.00,2694.00,3197.00,3829.00,1263.00,1552.00,2341.00,2281.00,2220.00,2361.00,,,
,,Total Liabilities,2303.00,2482.00,2963.00,3793.00,4471.00,5337.00,6403.00,4939.00,7009.00,9522.00,11387.00,12450.00,12936.00,,,
,,Fixed Assets +,329.00,364.00,384.00,504.00,992.00,1656.00,2309.00,790.00,873.00,1502.00,1875.00,2378.00,2635.00,,,
,,CWIP,52.00,12.00,70.00,352.00,504.00,464.00,419.00,94.00,374.00,333.00,450.00,312.00,40.00,,,
,,Investments,6.00,294.00,459.00,513.00,638.00,825.00,1078.00,3388.00,4987.00,5581.00,4923.00,5749.00,3377.00,,,
,,Other Assets +,1916.00,1812.00,2050.00,2424.00,2337.00,2391.00,2597.00,667.00,775.00,2106.00,4140.00,4011.00,6884.00,,,
,,Total Assets,2303.00,2482.00,2963.00,3793.00,4471.00,5337.00,6403.00,4939.00,7009.00,9522.00,11387.00,12450.00,12936.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39783.00,40148.00,40513.00,40878.00,41244.00,41609.00,41974.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,-89.00,368.00,336.00,405.00,496.00,716.00,1047.00,1463.00,1708.00,2482.00,1575.00,1694.00,,,,
,,Cash from Investing Activity +,265.00,-266.00,-192.00,-338.00,-773.00,-790.00,-1214.00,-1001.00,-1744.00,-2145.00,-660.00,-1508.00,,,,
,,Cash from Financing Activity +,1003.00,-164.00,-69.00,-114.00,-111.00,-47.00,-162.00,-466.00,25.00,-262.00,-292.00,-858.00,,,,
,,Net Cash Flow,1180.00,-61.00,75.00,-47.00,-388.00,-121.00,-329.00,-4.00,-10.00,75.00,623.00,-673.00,,,,
,,,,,,,,,,,,,,,,,,
15,GAIL,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,24639.00,26929.00,35070.00,44093.00,50974.00,61765.00,60557.00,52053.00,48552.00,54496.00,76190.00,72508.00,61776.00,,,
,,Expenses +,20208.00,21464.00,28508.00,37054.00,43547.00,53780.00,54923.00,47524.00,42537.00,46701.00,66283.00,63495.00,54646.00,,,
,,Operating Profit,4431.00,5465.00,6562.00,7040.00,7427.00,7985.00,5635.00,4529.00,6015.00,7796.00,9907.00,9013.00,7130.00,,,
,,OPM %,0.18,0.20,0.19,0.16,0.15,0.13,0.09,0.09,0.12,0.14,0.13,0.12,0.12,,,
,,Other Income,798.00,572.00,493.00,722.00,887.00,1250.00,942.00,737.00,1218.00,954.00,1751.00,3805.00,4018.00,,,
,,Interest,231.00,385.00,378.00,366.00,437.00,669.00,652.00,822.00,509.00,295.00,159.00,309.00,330.00,,,
,,Depreciation,718.00,829.00,878.00,1041.00,1319.00,1644.00,1433.00,1496.00,1541.00,1527.00,1667.00,2080.00,2242.00,,,
,,Profit before tax,4280.00,4823.00,5799.00,6355.00,6558.00,6922.00,4492.00,2949.00,5183.00,6928.00,9831.00,10429.00,8576.00,,,
,,Tax %,0.35,0.32,0.31,0.31,0.34,0.32,0.32,0.37,0.35,0.31,0.33,0.09,,,,
,,Net Profit,2826.00,3328.00,4021.00,4444.00,4374.00,4786.00,3160.00,1869.00,3368.00,4799.00,6546.00,9422.00,8519.00,,,
,,EPS in Rs,6.27,7.38,8.92,9.85,9.70,10.61,7.01,4.14,7.47,10.64,14.51,20.89,18.89,,,
,,Dividend Payout %,0.31,0.29,0.24,0.25,0.28,0.28,0.24,0.37,0.56,0.43,0.25,0.31,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,1268.00,1268.00,1268.00,1268.00,1268.00,1268.00,1268.00,1268.00,1691.00,2255.00,2255.00,4510.00,4510.00,,,
,,Reserves,14132.00,16541.00,19945.00,23646.00,27526.00,31188.00,32754.00,35135.00,37614.00,39424.00,43749.00,44758.00,46459.00,,,
,,Borrowings,3824.00,5413.00,6904.00,11506.00,16472.00,18537.00,18291.00,9052.00,6553.00,3876.00,2224.00,6912.00,6097.00,,,
,,Other Liabilities +,10166.00,12669.00,12034.00,11479.00,14542.00,15872.00,17355.00,13608.00,12433.00,15798.00,20199.00,18754.00,18705.00,,,
,,Total Liabilities,29391.00,35892.00,40152.00,47899.00,59809.00,66865.00,69669.00,59063.00,58291.00,61353.00,68426.00,74934.00,75771.00,,,
,,Fixed Assets +,11119.00,15330.00,15962.00,19863.00,24303.00,25995.00,32143.00,29946.00,28302.00,28860.00,31475.00,37121.00,37752.00,,,
,,CWIP,4188.00,4882.00,10585.00,14705.00,18376.00,18490.00,13806.00,3688.00,4126.00,5938.00,9738.00,11666.00,13036.00,,,
,,Investments,1026.00,1065.00,1236.00,1183.00,1254.00,1282.00,1272.00,9844.00,10125.00,10452.00,10722.00,9893.00,10707.00,,,
,,Other Assets +,13059.00,14615.00,12368.00,12148.00,15876.00,21099.00,22448.00,15584.00,15737.00,16102.00,16493.00,16253.00,14276.00,,,
,,Total Assets,29391.00,35892.00,40152.00,47899.00,59809.00,66865.00,69669.00,59063.00,58291.00,61353.00,68426.00,74934.00,75771.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,2850.00,5636.00,4608.00,5111.00,6603.00,4615.00,4214.00,3960.00,6024.00,8769.00,7984.00,8345.00,,,,
,,Cash from Investing Activity +,-2368.00,-5518.00,-7036.00,-9443.00,-8626.00,-4466.00,-2809.00,-904.00,-334.00,-2660.00,-5701.00,-8299.00,,,,
,,Cash from Financing Activity +,-1332.00,649.00,463.00,3194.00,3642.00,-3.00,-3058.00,-3028.00,-5275.00,-5252.00,-3364.00,281.00,,,,
,,Net Cash Flow,-851.00,768.00,-1964.00,-1138.00,1618.00,146.00,-1653.00,29.00,415.00,858.00,-1081.00,328.00,,,,
,,,,,,,,,,,,,,,,,,
16,GRASIM,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,18200.00,19768.00,21550.00,25245.00,27909.00,28331.00,31734.00,34487.00,36068.00,55894.00,77200.00,77625.00,71118.00,,,
,,Expenses +,13867.00,13980.00,16555.00,19666.00,21986.00,23416.00,26599.00,28111.00,28683.00,44681.00,60719.00,60241.00,55751.00,,,
,,Operating Profit,4332.00,5787.00,4995.00,5579.00,5924.00,4915.00,5135.00,6377.00,7385.00,11212.00,16481.00,17384.00,15367.00,,,
,,OPM %,0.24,0.29,0.23,0.22,0.21,0.17,0.16,0.18,0.20,0.20,0.21,0.22,0.22,,,
,,Other Income,447.00,871.00,399.00,742.00,824.00,576.00,539.00,855.00,1077.00,810.00,-1686.00,229.00,73.00,,,
,,Interest,307.00,335.00,407.00,314.00,324.00,447.00,667.00,718.00,702.00,3663.00,6060.00,6926.00,6421.00,,,
,,Depreciation,866.00,995.00,1138.00,1154.00,1252.00,1457.00,1563.00,1834.00,1808.00,2724.00,3571.00,4041.00,4042.00,,,
,,Profit before tax,3607.00,5329.00,3849.00,4852.00,5171.00,3586.00,3443.00,4679.00,5952.00,5635.00,5163.00,6647.00,4977.00,,,
,,Tax %,0.27,0.29,0.25,0.27,0.28,0.20,0.30,0.26,0.29,0.35,0.47,0.00,,,,
,,Net Profit,2187.00,3096.00,2279.00,2647.00,2704.00,2072.00,1744.00,2468.00,3167.00,2679.00,1693.00,4425.00,3347.00,,,
,,EPS in Rs,47.69,67.51,49.71,57.74,58.92,45.13,37.95,52.91,67.85,40.75,25.75,67.27,50.87,,,
,,Dividend Payout %,0.15,0.09,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.15,0.27,0.06,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,125.00,128.00,129.00,134.00,92.00,92.00,92.00,93.00,93.00,188.00,201.00,143.00,132.00,,,
,,Reserves,11421.00,12383.00,14444.00,16935.00,19522.00,21478.00,22989.00,27336.00,31291.00,57227.00,57885.00,56518.00,60120.00,,,
,,Borrowings,5893.00,5599.00,6783.00,7038.00,9550.00,9681.00,11930.00,12505.00,9213.00,67014.00,84418.00,84651.00,68394.00,,,
,,Other Liabilities +,6844.00,9700.00,10703.00,12466.00,14959.00,16485.00,19022.00,19642.00,22150.00,83526.00,98692.00,102978.00,121205.00,,,
,,Total Liabilities,24268.00,27774.00,32021.00,36531.00,44123.00,47736.00,54033.00,59576.00,62747.00,207899.00,241127.00,244278.00,249852.00,,,
,,Fixed Assets +,14238.00,15786.00,16851.00,17549.00,20561.00,25209.00,31828.00,34271.00,34786.00,69257.00,87129.00,87568.00,86308.00,,,
,,CWIP,1982.00,773.00,866.00,2461.00,6084.00,4045.00,2755.00,1788.00,1297.00,2290.00,2766.00,3904.00,4273.00,,,
,,Investments,3550.00,6676.00,7933.00,7876.00,8011.00,7611.00,7255.00,10601.00,14200.00,65995.00,62747.00,66337.00,52345.00,,,
,,Other Assets +,4498.00,4538.00,6372.00,8645.00,9467.00,10872.00,12194.00,12916.00,12464.00,70356.00,88484.00,86469.00,106925.00,,,
,,Total Assets,24268.00,27774.00,32021.00,36531.00,44123.00,47736.00,54033.00,59576.00,62747.00,207899.00,241127.00,244278.00,249852.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,3613.00,4829.00,3546.00,4350.00,4242.00,3549.00,4594.00,5868.00,7288.00,-4140.00,-1659.00,16666.00,,,,
,,Cash from Investing Activity +,-3678.00,-3615.00,-3204.00,-3629.00,-5687.00,-2336.00,-2359.00,-4515.00,-3509.00,1546.00,-2212.00,-11632.00,,,,
,,Cash from Financing Activity +,2.00,-1204.00,-295.00,-679.00,1348.00,-1046.00,-2278.00,-1365.00,-3799.00,3449.00,4158.00,-3185.00,,,,
,,Net Cash Flow,-63.00,10.00,48.00,42.00,-97.00,168.00,-42.00,-11.00,-20.00,856.00,287.00,1849.00,,,,
,,,,,,,,,,,,,,,,,,
17,HCLTECH,,,,,,,,,,,,,,,,,
,pnl,,39965.00,40330.00,40695.00,41061.00,41426.00,41791.00,42156.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,10229.00,12136.00,15730.00,20831.00,25581.00,32144.00,36701.00,31136.00,47568.00,50569.00,60427.00,70676.00,73158.00,,,
,,Expenses +,8400.00,10196.00,13275.00,17135.00,19920.00,24108.00,28229.00,24482.00,37184.00,39323.00,46501.00,53360.00,53796.00,,,
,,Operating Profit,1830.00,1941.00,2456.00,3695.00,5661.00,8035.00,8473.00,6654.00,10384.00,11246.00,13926.00,17316.00,19362.00,,,
,,OPM %,0.18,0.16,0.16,0.18,0.22,0.25,0.23,0.21,0.22,0.22,0.23,0.24,0.26,,,
,,Other Income,262.00,154.00,300.00,206.00,351.00,677.00,1139.00,871.00,1075.00,1230.00,943.00,589.00,798.00,,,
,,Interest,112.00,204.00,160.00,143.00,106.00,114.00,91.00,74.00,89.00,69.00,174.00,505.00,487.00,,,
,,Depreciation,375.00,418.00,460.00,549.00,637.00,681.00,404.00,410.00,828.00,1383.00,2073.00,3420.00,4095.00,,,
,,Profit before tax,1604.00,1472.00,2135.00,3210.00,5270.00,7917.00,9117.00,7041.00,10542.00,11024.00,12622.00,13980.00,15578.00,,,
,,Tax %,0.18,0.14,0.23,0.24,0.23,0.18,0.20,0.20,0.18,0.21,0.20,0.21,,,,
,,Net Profit,1320.00,1259.00,1647.00,2423.00,4040.00,6510.00,7317.00,5602.00,8606.00,8721.00,10120.00,11057.00,12190.00,,,
,,EPS in Rs,4.92,4.64,5.98,8.74,14.49,23.25,26.02,19.86,30.16,31.32,37.31,40.75,44.92,,,
,,Dividend Payout %,0.36,0.22,0.31,0.34,0.21,0.11,0.58,0.40,0.40,0.19,0.11,0.25,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39965.00,40330.00,40695.00,41061.00,41426.00,41791.00,42156.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,134.00,136.00,138.00,139.00,139.00,140.00,281.00,282.00,285.00,278.00,271.00,543.00,543.00,,,
,,Reserves,4808.00,6151.00,7514.00,9696.00,13020.00,19402.00,23943.00,27109.00,32664.00,36108.00,41095.00,50724.00,56074.00,,,
,,Borrowings,3016.00,2724.00,2187.00,2179.00,1044.00,1018.00,648.00,1090.00,582.00,557.00,4195.00,7986.00,5466.00,,,
,,Other Liabilities +,3805.00,3592.00,4061.00,6323.00,8196.00,9419.00,10373.00,10860.00,12231.00,11046.00,12788.00,23566.00,18048.00,,,
,,Total Liabilities,11763.00,12603.00,13901.00,18338.00,22399.00,29980.00,35245.00,39341.00,45762.00,47989.00,58349.00,82819.00,80131.00,,,
,,Fixed Assets +,4916.00,4840.00,5246.00,6453.00,6753.00,7444.00,8275.00,9716.00,15235.00,18753.00,22888.00,37490.00,36872.00,,,
,,CWIP,489.00,609.00,556.00,578.00,494.00,531.00,552.00,611.00,448.00,320.00,235.00,400.00,270.00,,,
,,Investments,40.00,832.00,738.00,673.00,713.00,662.00,869.00,698.00,1306.00,2660.00,2305.00,7066.00,5693.00,,,
,,Other Assets +,6318.00,6322.00,7362.00,10633.00,14440.00,21343.00,25548.00,28315.00,28773.00,26256.00,32921.00,37863.00,37296.00,,,
,,Total Assets,11763.00,12603.00,13901.00,18338.00,22399.00,29980.00,35245.00,39341.00,45762.00,47989.00,58349.00,82819.00,80131.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39965.00,40330.00,40695.00,41061.00,41426.00,41791.00,42156.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,1156.00,1821.00,1796.00,2418.00,4492.00,6457.00,5539.00,3823.00,8995.00,8328.00,8971.00,13359.00,,,,
,,Cash from Investing Activity +,-1978.00,83.00,-690.00,-1026.00,-2361.00,-4842.00,-2088.00,-2208.00,-3890.00,-2236.00,-3256.00,-12332.00,,,,
,,Cash from Financing Activity +,2250.00,-728.00,-1054.00,-1239.00,-2086.00,-1308.00,-3140.00,-2237.00,-4517.00,-5714.00,-1471.00,-3168.00,,,,
,,Net Cash Flow,1428.00,1176.00,52.00,153.00,44.00,307.00,311.00,-623.00,588.00,378.00,4244.00,-2141.00,,,,
,,,,,,,,,,,,,,,,,,
18,HDFCBANK,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Revenue,16314.00,16233.00,20043.00,28193.00,35861.00,42555.00,50666.00,63162.00,73271.00,85288.00,105161.00,122189.00,127090.00,,,
,,Interest,8903.00,7798.00,9425.00,15106.00,19695.00,23445.00,27288.00,34070.00,38042.00,42381.00,53713.00,62137.00,62244.00,,,
,,Expenses +,7340.00,7822.00,8736.00,10858.00,12630.00,13508.00,16164.00,20054.00,23856.00,29531.00,34856.00,45459.00,49858.00,,,
,,Financing Profit,71.00,613.00,1882.00,2229.00,3535.00,5602.00,7214.00,9037.00,11374.00,13375.00,16592.00,14593.00,14988.00,,,
,,Financing Margin %,0.00,0.04,0.09,0.08,0.10,0.13,0.14,0.14,0.16,0.16,0.16,0.12,0.12,,,
,,Other Income,3617.00,4210.00,4584.00,5992.00,7132.00,8298.00,9546.00,11212.00,12905.00,16055.00,18947.00,24879.00,24660.00,,,
,,Depreciation,370.00,404.00,509.00,554.00,663.00,689.00,680.00,738.00,886.00,967.00,1221.00,1277.00,0.00,,,
,,Profit before tax,3318.00,4419.00,5957.00,7667.00,10004.00,13211.00,16079.00,19511.00,23393.00,28464.00,34318.00,38195.00,39648.00,,,
,,Tax %,0.32,0.31,0.33,0.31,0.31,0.34,0.33,0.34,0.35,0.35,0.35,0.29,,,,
,,Net Profit,2249.00,3004.00,3992.00,5247.00,6870.00,8743.00,10689.00,12801.00,15280.00,18510.00,22332.00,27254.00,29570.00,,,
,,EPS in Rs,5.29,6.56,8.58,11.18,14.44,18.22,21.32,25.32,29.81,35.66,41.00,49.70,53.89,,,
,,Dividend Payout %,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.05,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Share Capital +,425.00,458.00,465.00,469.00,476.00,480.00,501.00,506.00,513.00,519.00,545.00,548.00,,,,
,,Reserves,14263.00,21158.00,25118.00,29741.00,36167.00,43687.00,62653.00,73798.00,91281.00,109080.00,153128.00,175810.00,,,,
,,Borrowings,151898.00,180470.00,222938.00,272874.00,335588.00,416677.00,509762.00,649587.00,741550.00,944817.00,1080235.00,1333041.00,,,,
,,Other Liabilities +,16816.00,20862.00,29442.00,37971.00,35492.00,42776.00,34181.00,38321.00,59000.00,48770.00,58898.00,71430.00,,,,
,,Total Liabilities,183403.00,222947.00,277963.00,341055.00,407723.00,503620.00,607097.00,762212.00,892344.00,1103186.00,1292806.00,1580830.00,,,,
,,Fixed Assets +,1732.00,2149.00,2201.00,2378.00,2773.00,3026.00,3225.00,3667.00,4000.00,4008.00,4369.00,4776.00,,,,
,,CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
,,Investments,58715.00,58508.00,70277.00,96795.00,110960.00,119571.00,149454.00,193634.00,210777.00,238461.00,289446.00,389305.00,,,,
,,Other Assets +,122955.00,162290.00,205485.00,241882.00,293989.00,381023.00,454417.00,564912.00,677567.00,860717.00,998991.00,1186750.00,,,,
,,Total Assets,183403.00,222947.00,277963.00,341055.00,407723.00,503620.00,607097.00,762212.00,892344.00,1103186.00,1292806.00,1580830.00,,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,-1748.00,9471.00,-960.00,-19381.00,-5847.00,4211.00,-21281.00,-34435.00,17282.00,17214.00,-62872.00,-16869.00,,,,
,,Cash from Investing Activity +,1486.00,-562.00,-553.00,-662.00,-902.00,-1099.00,-800.00,-837.00,-1146.00,-842.00,-1503.00,-1403.00,,,,
,,Cash from Financing Activity +,2971.00,3631.00,1274.00,11380.00,13105.00,9270.00,18694.00,37815.00,-5893.00,57378.00,23131.00,24394.00,,,,
,,Net Cash Flow,2709.00,12541.00,-240.00,-8663.00,6356.00,12382.00,-3387.00,2542.00,10242.00,73750.00,-41244.00,6122.00,,,,
,,,,,,,,,,,,,,,,,,
19,HDFCLIFE,,,,,,,,,,,,,,,,,
,pnl,,,,,,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,,,,,14060.00,17166.00,27215.00,18141.00,30647.00,32260.00,38857.00,29729.00,43148.00,,,
,,Expenses +,,,,,13535.00,16561.00,26341.00,17187.00,29674.00,31186.00,37529.00,28371.00,41958.00,,,
,,Operating Profit,,,,,525.00,605.00,874.00,953.00,972.00,1074.00,1329.00,1358.00,1190.00,,,
,,OPM %,,,,,0.04,0.04,0.03,0.05,0.03,0.03,0.03,0.05,0.03,,,
,,Other Income,,,,,28.00,241.00,79.00,108.00,139.00,282.00,21.00,20.00,355.00,,,
,,Interest,,,,,15.00,11.00,-14.00,8.00,9.00,11.00,14.00,17.00,0.00,,,
,,Depreciation,,,,,35.00,41.00,43.00,45.00,41.00,44.00,45.00,47.00,0.00,,,
,,Profit before tax,,,,,502.00,794.00,924.00,1008.00,1061.00,1300.00,1291.00,1314.00,1545.00,,,
,,Tax %,,,,,0.11,0.09,0.15,0.19,0.16,0.15,0.01,0.01,,,,
,,Net Profit,,,,,447.00,725.00,786.00,817.00,887.00,1107.00,1278.00,1297.00,1341.00,,,
,,EPS in Rs,,,,,2.24,3.64,3.94,4.09,4.44,5.50,6.33,6.43,6.63,,,
,,Dividend Payout %,,,,,0.00,0.14,0.18,0.22,0.25,0.25,0.26,0.00,,,,
,,,,,,,,,,,,,,,,,,
,bs,,,,,,01 March 2013,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,,,,,1995.00,1995.00,1995.00,1995.00,1998.00,2012.00,2017.00,2019.00,2019.00,,,
,,Reserves,,,,,-658.00,-67.00,546.00,1108.00,1828.00,2692.00,3625.00,4782.00,5803.00,,,
,,Borrowings,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600.00,,,
,,Other Liabilities +,,,,,40581.00,50347.00,66767.00,73441.00,91270.00,105779.00,124378.00,125423.00,147095.00,,,
,,Total Liabilities,,,,,41918.00,52275.00,69309.00,76544.00,95097.00,110483.00,130020.00,132224.00,155517.00,,,
,,Fixed Assets +,,,,,252.00,279.00,346.00,335.00,337.00,336.00,324.00,322.00,328.00,,,
,,CWIP,,,,,29.00,10.00,6.00,12.00,16.00,5.00,10.00,8.00,0.00,,,
,,Investments,,,,,40404.00,50527.00,67024.00,74144.00,91723.00,106590.00,124958.00,126629.00,150650.00,,,
,,Other Assets +,,,,,1232.00,1458.00,1932.00,2053.00,3020.00,3551.00,4729.00,5264.00,4539.00,,,
,,Total Assets,,,,,41918.00,52275.00,69309.00,76544.00,95097.00,110483.00,130020.00,132224.00,155517.00,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,cf,,,,,,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,,,,,,,4459.00,5687.00,6230.00,6739.00,9868.00,7378.00,,,,
,,Cash from Investing Activity +,,,,,,,-3514.00,-3962.00,-5177.00,-4421.00,-10182.00,-7789.00,,,,
,,Cash from Financing Activity +,,,,,,,-168.00,-212.00,-236.00,-196.00,-337.00,38.00,,,,
,,Net Cash Flow,,,,,,,777.00,1513.00,817.00,2122.00,-651.00,-373.00,,,,
,,,,,,,,,,,,,,,,,,
20,HEROMOTOCO,,,,,,,,,,,,,,,,,
,pnl,,,,,,,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,,,,,,25275.00,27538.00,28457.00,28610.00,32458.00,33971.00,29254.00,25850.00,,,
,,Expenses +,,,,,,21736.00,24186.00,24059.00,24034.00,27133.00,28952.00,25253.00,22694.00,,,
,,Operating Profit,,,,,,3539.00,3352.00,4398.00,4576.00,5325.00,5018.00,4001.00,3156.00,,,
,,OPM %,,,,,,0.14,0.12,0.15,0.16,0.16,0.15,0.14,0.12,,,
,,Other Income,,,,,,444.00,492.00,447.00,839.00,573.00,747.00,1503.00,665.00,,,
,,Interest,,,,,,12.00,12.00,15.00,27.00,31.00,37.00,47.00,45.00,,,
,,Depreciation,,,,,,1107.00,540.00,443.00,502.00,575.00,624.00,846.00,756.00,,,
,,Profit before tax,,,,,,2864.00,3292.00,4387.00,4885.00,5292.00,5104.00,4611.00,3021.00,,,
,,Tax %,,,,,,0.26,0.29,0.29,0.27,0.30,0.32,0.21,,,,
,,Net Profit,,,,,,2103.00,2365.00,3142.00,3584.00,3720.00,3444.00,3638.00,2524.00,,,
,,EPS in Rs,,,,,,105.30,118.42,157.34,179.49,186.29,172.44,182.14,126.36,,,
,,Dividend Payout %,,,,,,0.62,0.51,0.46,0.47,0.51,0.50,0.49,,,,
,,,,,,,,,,,,,,,,,,
,bs,,,,,,,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,,,,,,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,,,
,,Reserves,,,,,,5583.00,6500.00,8794.00,10276.00,11932.00,13080.00,14366.00,14873.00,,,
,,Borrowings,,,,,,284.00,100.00,232.00,261.00,228.00,312.00,453.00,540.00,,,
,,Other Liabilities +,,,,,,4215.00,4014.00,3829.00,4736.00,5197.00,5072.00,4815.00,7507.00,,,
,,Total Liabilities,,,,,,10122.00,10654.00,12896.00,15312.00,17397.00,18504.00,19674.00,22960.00,,,
,,Fixed Assets +,,,,,,2247.00,2952.00,3784.00,4599.00,4961.00,4952.00,6473.00,6545.00,,,
,,CWIP,,,,,,855.00,719.00,653.00,581.00,355.00,573.00,391.00,208.00,,,
,,Investments,,,,,,4106.00,3118.00,4501.00,6066.00,7669.00,6114.00,8359.00,10853.00,,,
,,Other Assets +,,,,,,2914.00,3864.00,3958.00,4066.00,4411.00,6865.00,4451.00,5354.00,,,
,,Total Assets,,,,,,10122.00,10654.00,12896.00,15312.00,17397.00,18504.00,19674.00,22960.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,,,,,,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
